LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-11-13 14:41:55,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:55,1900-01-00 00:00:00,,00:0E:58:24:65:58,-68,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:55,1900-01-00 00:00:00,,00:0E:58:24:65:58,-68,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:55,1900-01-00 00:00:00,,00:0E:58:24:65:58,-70,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:55,1900-01-00 00:00:00,,00:0E:58:24:65:58,-68,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:55,1900-01-00 00:00:00,,00:0E:58:24:65:58,-70,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:55,1900-01-00 00:00:00,,00:0E:58:24:65:58,-68,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:55,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:55,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:55,1900-01-00 00:00:00,,00:0E:58:24:65:58,-70,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:55,1900-01-00 00:00:00,,00:0E:58:24:65:58,-68,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:55,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:55,1900-01-00 00:00:00,,00:0E:58:24:65:58,-68,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:55,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:55,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:55,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:55,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:55,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:55,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:55,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:56,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:56,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:56,1900-01-00 00:00:00,,54:2A:1B:D9:BD:BA,-76,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:56,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:56,1900-01-00 00:00:00,,94:9F:3E:B5:35:1C,-66,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:56,1900-01-00 00:00:00,,94:9F:3E:B5:35:1C,-66,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:56,1900-01-00 00:00:00,,94:9F:3E:B5:35:1C,-64,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:56,1900-01-00 00:00:00,,94:9F:3E:B5:35:1C,-64,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:56,1900-01-00 00:00:00,,94:9F:3E:B5:35:1C,-70,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:56,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:56,1900-01-00 00:00:00,,94:9F:3E:B5:35:1C,-66,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:56,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
